# ProtMiscuity: a database of promiscuous proteins. http://ufq.unq.edu.ar/protmiscuity
# Ana Julia Velez Rueda, Nicolas Palopoli, Matias Zacarias, Gustavo Parisi. Universidad Nacional de Quilmes, Argentina.

PROTEIN_NAME,RELATED_UNIP_IDS,RELATED_DOIS,CANONIC_ENZYMATIC_ACTIVITY,PROMISCUOS_ENZYMATIC_ACTIVITY
Dihydroorotase,P05020,10.1021/bi051021e ,dihydroorotate dehydrogenase,paraoxonase
Parathion hydrolase,P0A434,10.1021/bi051021e ,phosphotriesterase,esterase
Parathion hydrolase,P0A434,10.1021/bi051021e ,phosphotriesterase,lactonase
N-acyl-L-amino-acid amidohydrolase,I7ZLX5,10.1002/adsc.200505342,L-aminoacylase,Markovnikov addition
N-acyl-L-amino-acid amidohydrolase,I7ZLX5,10.1002/adsc.200900161,L-aminoacylase,Michael addition
N-acyl-D-amino-acid deacylase,A0A0J2DU29,10.1002/adsc.200505342,D-aminoacylase,Markovnikov addition
N-acyl-D-amino-acid deacylase,A0A0J2DU29,10.1039/b700327g,10.1002/adsc.200900161,D-aminoacylase,Michael addition
N-acyl-D-amino-acid deacylase,A0A0J2DU29,10.1016/j.molcatb.2013.07.012,D-aminoacylase,double Michael addition
N-acyl-D-amino-acid deacylase,A0A0J2DU29,10.1007/s00726-014-1747-6,D-aminoacylase,aldol condensation
Ficin isoform A/Thiol protease/Ficin,A0A182DW06,10.1016/j.molcatb.2013.06.016,cysteine peptidase,asymmetric aldol reaction
Lipase B,P41365,10.1016/j.bmcl.2010.05.063,lipase,kinetic resolution
Lipase B,P41365,10.1039/B817524A,lipase,direct Mannich reaction
Lipase B,P41365,10.1021/ol901917e,10.3390/molecules201017789,10.1016/j.cbpa.2014.12.020,10.1021/acsami.6b05061,10.1021/ja056660r,10.1515/boca-2015-0013,10.1039/c1gc15255f,10.1039/b803406k,lipase,epoxide hydrolysis,epoxidation
(-) gamma-lactamase,E3SVS0,10.1007/s00253-015-6503-7,perhydrolase,gamma-lactamase
Acidic protease,I7CDL7,10.1016/j.tet.2012.02.056,serine carboxypeptidase,direct asymmetric aldol reaction
Carboxylesterase,K4HQE7,10.1002/prot.24334,10.1128/AEM.05363-11,carboxylesterase,beta-lactamase
o-succinylbenzoate synthase,Q44244,10.1021/jp511147b,10.1021/bi990140p,10.1021/bi035815+,o-succinylbenzoate synthesis,N-succinylamino acid racemization
Triacylglycerol lipase,O59952,10.1021/op7002248,lipase,kinetic resolution and desymmetrization
Triacylglycerol lipase,O59952,10.1016/j.molcatb.2010.11.011,lipase,asymmetric C-C Michael addition
Pancreatic triacylglycerol lipase,P00591,10.1007/s00449-015-1496-2,10.1039/C004547K,10.1002/adsc.201000523,lipase,Knoevenagel condensation
Pancreatic triacylglycerol lipase,P00591,10.1039/c4ra03367a,lipase,synthesis of substituted 2H-chromenes
Alpha-amylase,P00690,10.1039/C004547K,alpha-amylase,Knoevenagel condensation
Alpha-amylase,P00691,10.1016/j.molcatb.2013.02.001,alpha-amylase,domino oxa-Michael addition and aldol condensation
Lysozyme C,P00698,10.1021/jo2016696,glycoside hydrolase,aza-Diels–Alder reaction
Tripsin,P00761,10.1007/s10562-013-0962-1,serine endopeptidase,one-pot 4-thiazolidinones synthesis
Tripsin,P00761,10.1016/j.jbiotec.2016.11.004,serine endopeptidase,one-pot thiazole-2-imine derivatives synthesis
Tripsin,P00761,10.1016/j.jbiotec.2013.10.031,serine endopeptidase,Biginelli reaction
Tripsin,P00761,10.1016/j.jbiotec.2013.10.031,serine endopeptidase,transesterification
Chymotrypsinogen A,P00766,10.3390/molecules191219665,serine endopeptidase,bis(indolyl)methanes synthesis
Chymotrypsinogen A,P00766,10.1039/C4GC01123F,serine endopeptidase,one-pot Povarov reaction
Pepsin,P00791,10.1016/j.jbiotec.2010.10.004,serine endopeptidase,asymmetric aldol reaction
Pepsin,P00791,10.1021/acs.joc.6b01132,serine endopeptidase,asymmetric domino thia-Michael and aldol condensation
Pepsin,P00791,10.1039/C5CY00987A,serine endopeptidase,Michael addition
Pepsin,P00791,10.1002/adsc.201301070,serine endopeptidase,Morita-Baylis-Hillman reaction
Carbonic anhydrase 2,P00918,10.1021/ja207855c,10.1016/j.bpc.2013.02.003,10.1002/chem.200501413,10.1016/0014-5793(84)80168-4,10.1021/bi0475471,carbonate dehydratase,esterase
Hemoglobin subunit alpha,P01966,10.1016/0043-1354(86)90094-1,10.1002/biot.200900100,None,catalase
Hemoglobin subunit beta,P02070,10.1016/0043-1354(86)90094-1,10.1002/biot.200900100,None,catalase
Serum albumin,P02768,10.1080/14756360701383932,10.1016/j.abb.2006.06.003,None,aryl-acylamidase
Serum albumin,P02768,10.1016/j.bbagen.2013.03.015,10.1039/C4RA11206G,10.1023/b:pham.0000016241.84630.06,None,esterase-like
Serum albumin,P02768,10.1016/j.bbagen.2013.03.015,10.1111/j.1432-1033.1980.tb06022.x,None,thioesterase
Serum albumin,P02768,10.1038/383060a0,10.1002/cbic.200400255,10.1021/ja993471y,None,Kemp elimination
Serum albumin,P02768,10.1042/bj3380723,None,peroxidase
Serum albumin,P02769,10.1039/C4RA11206G,10.1007/s00726-012-1437-1,None,Biginelli reaction
Serum albumin,P02769,10.3762/bjoc.9.123,10.1021/op100130c,10.1002/adsc.200505342,10.1007/s00726-012-1437-1,10.1039/C4RA11206G,10.1021/ja993471y,None,Henry reaction
Serum albumin,P02769,10.1038/383060a0,10.1002/cbic.200400255,10.1021/ja993471y,None,Kemp elimination
Serum albumin,P02769,10.1007/s10562-018-2386-4,None,cross aldol condensation
Papain,P00784,10.1016/j.biochi.2011.09.018,protease,Knoevenagel condensation
Chymopapain,P14080,10.1002/adsc.201100555,cysteine peptidase,direct asymmetric aldol reaction
Cystathionine beta-lyase,P06721,10.1074/jbc.M116.739557,cystathionine beta-lyase,alanine racemase
Penicillin G acylase,P06875,10.1016/j.biotechadv.2013.07.005,10.1002/adsc.200505342,10.1039/B501338K,10.1016/j.jbiotec.2011.03.009,penicillin amidase,Markovnikov addition
Penicillin G acylase,P06875,10.1016/j.jbiotec.2011.03.009,penicillin amidase,transesterification reaction
Carboxylesterase BioH,P13001,10.1074/jbc.M303867200,10.1016/j.procbio.2014.03.020,carboxylic ester hydrolase activity,Michael addition-cyclization cascade reaction
Triacylglycerol lipase,P19515,10.1002/ejoc.201101624,lipase,aza-Michael addition
Triacylglycerol lipase,P19515,10.1002/ejoc.201101624,lipase,double Michael addition
Triacylglycerol lipase,P22088,10.1007/s10562-014-1429-8,lipase,aldol condensation
Triacylglycerol lipase,P22088,10.1007/s10562-014-1429-8,lipase,Morita-Baylis-Hillman reaction
Triacylglycerol lipase,P22088,10.1021/jo400268u,lipase,aza-Michael addition
Lipase,P61871,10.1021/op7002248,lipase,kinetic resolution and desymmetrization
Lipase,P61871,10.1080/17518253.2013.818721,lipase,Henry reaction
Triacylglycerol lipase,Q0PW44,10.1080/17518253.2013.818721,lipase,Henry reaction
Lipase,I1BGQ3,10.1021/cs2002466,10.1021/op7002248,lipase,kinetic resolution and desymmetrization
Lipase,W5H9K9,10.1039/C5CY01923K,lipase,Mannich reaction
